file,line_or_range,target_text,comment_author,comment_timestamp,comment_text,thread_role,status
ASIM2026-fullpaper.tex,46,"Occupant-centric HVAC control in shared offices must aggregate several personal comfort models into one room-level setpoint, yet hybrid and activity-based work change both the number and composition of occupants present.",Kuniaki Mihara,"27 July, 2:41 pm","I am not sure whether setpoint temp is needed to decide for occupants. Is really OCC equal to change...",comment,unresolved
ASIM2026-fullpaper.tex,60,"Occupant-centric control, Group comfort model, Occupancy dynamics, Agent simulation, Thermal comfort",Kuniaki Mihara,"27 July, 2:44 pm","Keywords typically include important terms that do not already appear in the title.",comment,unresolved
ASIM2026-fullpaper.tex,40-42,"Author affiliations, including the postal codes 117566, 489690, and 182-0036.",Eikichi Ono,"28 July, 5:18 pm","We don't need postal codes?",comment,unresolved
ASIM2026-fullpaper.tex,48,"Personal comfort models were developed for 39 participants from over 2,000 thermal-preference responses collected over four weeks in a Singapore office building, and an occupancy-log-based Monte Carlo simulation compared a static group model (regular room members), a daily model (daily attendees), a real-time model (occupants present at each interval), and a fixed 24°C baseline.",Eikichi Ono,"28 July, 5:21 pm","Better to say what you evaluated in the simulation. Thermal comfort performance?",comment,unresolved
sections/method.tex,3;26,"Room-level entry/exit records preserve observed attendance and movement patterns as location-log agents; anonymized building-management records were reconstructed as continuous stays.",Kuniaki Mihara,"27 July, 2:51 pm","Is the explanation of how individual presence or absence was detected intentionally vague, perhaps t...",comment,unresolved
sections/method.tex,18,"Data were collected from 29 September to 24 October 2025 in The GEAR, an office building operated by Kajima Corporation in Singapore.",Eikichi Ono,"28 July, 5:32 pm","We don't need to include the name of the building and company",comment,unresolved
sections/method.tex,4,"Four office rooms were selected as simulation target rooms.",Eikichi Ono,"29 July, 5:13 pm","Better have the room list",comment,unresolved
sections/results.tex,17,"A large regular-member pool can still produce sparse room occupancy for much of the day, letting the present group differ from both the regular membership and the day's attendees; updating the represented group preserves a comfort advantage under these partial-attendance conditions.",Kuniaki Mihara,"27 July, 2:59 pm","This explanation is provided, but which data or results in the main text support it?",comment,unresolved
sections/results.tex,17,"A large regular-member pool can still produce sparse room occupancy for much of the day, letting the present group differ from both the regular membership and the day's attendees; updating the represented group preserves a comfort advantage under these partial-attendance conditions.",Kuniaki Mihara,"27 July, 3:06 pm","This is explained in Fig. 3? Better to describe the relationship to Fig. 3.",reply,unresolved
sections/results.tex,44,"The horizontal axis is the 15-minute UTR, where zero indicates no change in occupant composition and one indicates complete replacement.",Kuniaki Mihara,"27 July, 3:20 pm","Why was a 15-minute time interval selected?",comment,unresolved
sections/results.tex,22,"The central trend decreased from about 1.3°C near a daily mean occupancy of one to roughly 1.0°C near four and 0.8°C at the highest observed daily mean occupancy, with the widest bands at low occupancy.",Eikichi Ono,"29 July, 5:10 pm","Are there the error bands?",comment,unresolved
sections/results.tex,49,"Shared offices turned over dynamically through office hours, while the assigned-seat office (5A) stayed near 0.2--0.4 UTR and rarely reached the highest bins.",Eikichi Ono,"29 July, 5:17 pm","Is this about Figure 4(a)? We cannot see which is Shared office and assigned-seat office (5A)",comment,unresolved
sections/results.tex,46-48,"Colored lines denote bins of K. The near-overlap of the K bands indicates that occupant replacement, rather than group size, was the dominant driver of short-interval action frequency.",Eikichi Ono,"29 July, 5:21 pm","This is interesting. How was the actual number of occupants instead of K?",comment,unresolved
sections/results.tex,7,"RT-GCM declined from 96--97% at K=2 to 79--82% at the largest tested K; DGCM declined from 91--94% to 72--76%; SGCM fell from 72--73% to 64--66%, converging on the baseline.",Eikichi Ono,"29 July, 5:33 pm","According to this results, RT-GCM can provide more than 10% improvement even when K = 10+. This is s...",comment,unresolved
sections/discussion.tex,2,"Using observed occupancy logs and field-derived PCMs under a shared setpoint-selection rule, this study shows that the value of temporal resolution depends on K, daily mean occupancy, and UTR.",Kuniaki Mihara,"27 July, 3:35 pm","Although several previous studies are discussed in the Introduction, only two are revisited in the D...",comment,unresolved
sections/discussion.tex,2,"Using observed occupancy logs and field-derived PCMs under a shared setpoint-selection rule, this study shows that the value of temporal resolution depends on K, daily mean occupancy, and UTR.",Eikichi Ono,"29 July, 5:24 pm","Real/dynamic occupancy rather than temporal resolution?",comment,unresolved
sections/conclusion.tex,2,"This study compared static, daily, and real-time aggregation of personal comfort information under dynamic office occupancy, using an occupancy-log-based simulation built on four weeks of field data from 39 participants.",Eikichi Ono,"29 July, 5:38 pm","Better to include more quantitative findings",comment,unresolved
